content_producer	site_type	gl	hl	term_id	langs	country	term	type	code_lang	collection_date	result_number	link	domain	top_level_domain	coding_completion_date	link_type	link_accessibility	how_recent_is_the_information	what_is_the_author_background	are_there_major_scientific_errors_in_the_link	how_accurate_is_the_scientific_content_presen	are_there_any_scientific_terms_that_lay_peopl	if_you_answered_no_to_the_previous_question_y	jargon_score	is_a_scientific_background_high_school_or_abo	are_the_following_sources_available_in_the_li	x1_none_of_the_below	x2_others	x3_place_to_leave_comments_ask_questions	x4_graphs	x5_relevant_multimedia_e_g_video_animation_et	x6_hyper_links	x7_numerical_data	x8_list_of_sources	x9_citation_or_references_to_relevant_literat	does_the_content_reject_or_reinforce_the_disc	is_malicious_meaning_is_alluded_to_in_the_tex	do_claims_contradict_accepted_scientific_expl	are_specific_groups_in_society_pharma_jews_mu	is_there_reference_to_everyday_life	are_there_local_examples_in_the_content_e_g_r	local_examples_prop	does_the_content_present_advantages_and_disad	langs_country	lang_short	lang_uniq	site_type_fct	content_producer_fct	site_type_collapsed	producer_high_cred	access_multimedia	access_sci	accuracy	cred	cons_n_neg	cons_n_pos	contextual	recency	conspiracy	access	agg_sci_qual	agg_sci_qual_norm
	""	es	es	13	Spanish	Madrid,Community of Madrid,Spain	Mammalia	Canonical Scientific Issues	es	4.12.2022	4	https://demammalia.com/	demammalia.com	demammalia.com	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	28	Spanish	Madrid,Community of Madrid,Spain	Energía	Canonical Scientific Issues	es	4.12.2022	3	https://www.abc.es/economia/emprendedor-espanol-ilumina-nueva-energia-20221204145443-nt.html	www.abc.es	abc.es	08.04.2023	3	2									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	es	es	28	Spanish	Madrid,Community of Madrid,Spain	Energía	Canonical Scientific Issues	es	4.12.2022	9	https://www.gob.mx/sener	www.gob.mx	www.gob.mx	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	28	Spanish	Madrid,Community of Madrid,Spain	Energía	Canonical Scientific Issues	es	4.12.2022	7	https://energia.gob.es/en-us/Paginas/index.aspx	energia.gob.es	energia.gob.es	08.04.2023	1	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	70	Spanish	Madrid,Community of Madrid,Spain	Inundación	Socio-Scientific Issues	es	4.12.2022	2	https://www.canalsur.es/radio/programas/cuenta-atras/noticia/1878486.html	www.canalsur.es	canalsur.es	08.04.2023	3	4									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	es	es	71	Spanish	Madrid,Community of Madrid,Spain	Sequía	Socio-Scientific Issues	es	4.12.2022	1	https://www.diariosur.es/malaga/sequia-recogida-aceituna-20221202131607-nt.html	www.diariosur.es	diariosur.es	08.04.2023	3	2									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	es	es	79-B	Spanish	Madrid,Community of Madrid,Spain	la Tierra es plana	Conspiracy Theories	es	4.12.2022	3	https://elpais.com/elpais/2019/02/27/ciencia/1551266455_220666.html	elpais.com	elpais.com	08.02.2023	1	2									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	80-B	Spanish	Madrid,Community of Madrid,Spain	La humanidad nunca llegó a la luna	Conspiracy Theories	es	4.12.2022	10	https://www.lavanguardia.com/historiayvida/historia-contemporanea/20220528/8294613/nunca-luna-teorias-complot.html	www.lavanguardia.com	lavanguardia.com	08.02.2023	1	2									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	es	es	80-B	Spanish	Madrid,Community of Madrid,Spain	La humanidad nunca llegó a la luna	Conspiracy Theories	es	4.12.2022	8	https://elpais.com/ciencia/2022-08-28/la-humanidad-da-el-primer-paso-para-llevar-a-una-mujer-a-la-luna.html	elpais.com	elpais.com	08.02.2023	1	2									""																		Spanish_Madrid,Community of Madrid,Spain	es	es-es			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	fr	fr	5	French	Paris,Paris,Ile-de-France,France	Environnement	Canonical Scientific Issues	fr	4.12.2022	4	https://www.midilibre.fr/2022/12/04/environnement-quand-les-citoyens-financent-eux-memes-des-projets-denergies-renouvelables-10842444.php	www.midilibre.fr	midilibre.fr	16.5.2023	3	2									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	fr	fr	12	French	Paris,Paris,Ile-de-France,France	Fungi	Canonical Scientific Issues	fr	4.12.2022	5	https://www.britannica.com/science/fungus	www.britannica.com	britannica.com	16.5.2023	1	3									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	fr	fr	20	French	Paris,Paris,Ile-de-France,France	Atome	Canonical Scientific Issues	fr	22.12.2022	3	https://www.irsn.fr/FR/connaissances/Nucleaire_et_societe/education-radioprotection/bases_radioactivite/Pages/2-atome.aspx#.Y40x2XZBwok	www.irsn.fr	irsn.fr	13.4.2023	1	2									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	fr	fr	28	French	Paris,Paris,Ile-de-France,France	Énergie	Canonical Scientific Issues	fr	22.12.2022	7	https://www.ledauphine.com/economie/2022/12/04/isere-illuminations-et-energie-la-magie-de-noel-preservee	www.ledauphine.com	ledauphine.com	27.4.2023	3	2									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	fr	fr	73-B	French	Paris,Paris,Ile-de-France,France	réchauffement climatique faux	Conspiracy Theories	fr	20.9.2022	9	https://consent.yahoo.com/v2/collectConsent?sessionId=3_cc-session_068aaa3b-15d0-44dc-bbe2-fa5a8551f566	consent.yahoo.com	yahoo.com	30.10.2022	1	5									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	fr	fr	73-B	French	Paris,Paris,Ile-de-France,France	réchauffement climatique faux	Conspiracy Theories	fr	20.9.2022	10	https://imazpress.com/	imazpress.com	imazpress.com	30.10.2022	1	4									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	fr	fr	79-B	French	Paris,Paris,Ile-de-France,France	terre plate	Conspiracy Theories	fr	20.9.2022	8	https://www.cairn.info/magazine-books-2018-12-page-24.htm	www.cairn.info	cairn.info	30.10.2022	1	2									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	0		0	0		
	""	fr	fr	58	French	Paris,Paris,Ile-de-France,France	Énergie renouvelable	Socio-Scientific Issues	fr	22.12.2022	3	https://www.lemonde.fr/economie/article/2022/12/03/les-retards-les-espoirs-et-le-pactole-des-energies-renouvelables-en-france_6152768_3234.html	www.lemonde.fr	lemonde.fr	30.10.2022	3	2									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	fr	fr	58	French	Paris,Paris,Ile-de-France,France	Énergie renouvelable	Socio-Scientific Issues	fr	22.12.2022	6	https://www.la-croix.com/Economie/Hydroelectricite-petits-barrages-veulent-produire-plus-2022-12-03-1201244905	www.la-croix.com	la-croix.com	30.10.2022	3	2									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	fr	fr	70	French	Paris,Paris,Ile-de-France,France	Inondation	Socio-Scientific Issues	fr	22.12.2022	2	https://www.midilibre.fr/2022/12/03/les-cinquiemes-se-sont-formes-pour-faire-face-aux-risques-dinondation-10843332.php	www.midilibre.fr	midilibre.fr	30.10.2022	3	2									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	fr	fr	71	French	Paris,Paris,Ile-de-France,France	Sécheresse	Socio-Scientific Issues	fr	22.12.2022	5	https://www.ladepeche.fr/2022/12/02/a-cause-de-la-secheresse-les-eleveurs-du-lot-manquent-de-fourrage-pour-nourrir-leurs-betes-10840037.php	www.ladepeche.fr	ladepeche.fr	30.10.2022	3	2									""																		French_Paris,Paris,Ile-de-France,France	fr	fr-fr			""	FALSE	0	0	0	0	0	0	1		0	0		
	""	id	id	16	Indonesian	Central Jakarta,Jakarta,Indonesia	larutan	Canonical Scientific Issues	id	28.7.2022	3	https://www.cigarplace.biz/all-brands/larutan-by-drew-estate.html	www.cigarplace.biz	cigarplace.biz	11.1.2023	1	4									""																		Indonesian_Central Jakarta,Jakarta,Indonesia	id	id			""	FALSE	0	0	0	0	0	0	0		0	0		
